customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,Age,Income,Purchases,MonthlyCharges,TotalCharges,Churn,Notes
CUST-1383,Male,0,Yes,No,63,Yes,No,Month-to-month,No,Electronic check,53.0,59980.68,24.0,32.18,2093.74,No,
CUST-1775,Male,0,No,No,56,Yes,Fiber optic,One year,Yes,Credit card,41.0,67088.04,21.0,25.59,1475.21,Yes,
CUST-1791,Female,0,No,No,5,Yes,Fiber optic,Month-to-month,No,Bank transfer,64.0,64351.26,14.0,22.33,,Yes,
CUST-1131,Male,1,Yes,Yes,26,No,Fiber optic,Month-to-month,Yes,Electronic check,40.0,55714.34,19.0,59.13,1599.35,No,
CUST-1464,Female,0,No,No,47,Yes,Fiber optic,Month-to-month,No,Bank transfer,,58060.85,12.0,102.29,4797.28,No,
CUST-1588,FEMALE,1,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Bank transfer,63.0,72782.38,31.0,21.75,1609.26,No,
CUST-1953,Female,0,Yes,No,59,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,49.0,79531.38,25.0,108.82,6328.95,No,
CUST-1837,Male,0,No,Yes,30,Yes,DSL,Month-to-month,Yes,Bank transfer,36.0,32034.24,17.0,110.77,3398.86,No,
CUST-1456,Female,0,Yes,No,58,Yes,Fiber optic,One year,No,Bank transfer,42.0,71897.64,21.0,48.53,2916.44,No,
CUST-1374,Male,0,No,No,24,Yes,Fiber optic,Month-to-month,No,Credit card,27.0,36508.32,16.0,21.79,532.28,Yes,
CUST-1003,Male,0,No,Yes,55,Yes,Fiber optic,One year,No,Mailed check,20.0,49555.18,22.0,43.88,2454.42,No,
CUST-1421,Female,0,Yes,Yes,61,Yes,DSL,One year,Yes,Electronic check,24.0,90462.48,29.0,67.85,4055.37,No,
CUST-1991,Female,0,Yes,No,64,Yes,Fiber optic,Two year,Yes,Mailed check,45.0,33867.24,20.0,20.89,1306.81,No,
CUST-1259,Male,0,Yes,No,32,Yes,DSL,Month-to-month,Yes,Mailed check,74.0,15893.61,13.0,41.27,1351.33,No,
